id,title,authors,abstract,categories,published,url,resource_uri,no,total_results
2606.02416v1,Bounds on Nonlocality and Random Access Codes from Extended Information Causality Principle,"['Prabhav Jain', 'Nikolai Miklin', 'Mariami Gachechiladze']","Information Causality was introduced as a physical principle for constraining the set of nonlocal correlations. In recent work, we proposed an extension of Information Causality that allows correlations among Alice's inputs. This extended principle yields tighter constraints than the original formulation and recovers part of the quantum boundary in certain Bell scenarios. In this work, we further investigate the implications of extended Information Causality and apply it to scenarios beyond binary inputs and outputs. We derive a family of quantum Bell inequalities that strengthen previously known constraints on quantum correlations. Using these inequalities, we obtain an improved analytical bound for the Collins-Gisin family of Bell inequalities. We also apply Information Causality to entanglement-assisted random access codes and derive new theory-independent analytical bounds on the winning probability. For this latter task, we prove that, despite being stronger in general, the extended principle does not improve the bounds obtained from the original Information Causality principle. This suggests that the existing Information Causality bounds are optimal for this class of random access codes.",['quant-ph'],2026-06-01T15:58:11+00:00,https://arxiv.org/pdf/2606.02416v1,arxiv://2606.02416v1,1,10
2605.24431v2,AKLT State is Indeed the Observation Process of a causal Hidden quantum Markov Model,"['Abdessatar Souissi', 'Amenallah Andolsi']","We present a rigorous formulation of the spin-1 Affleck--Kennedy--Lieb--Tasaki (AKLT) state within the framework of hidden quantum Markov models (HQMMs). We show that the AKLT ground state admits a natural representation as the observable output of a causal HQMM, thereby endowing it with an underlying hidden quantum memory that is fully consistent with its standard finitely correlated (matrix product state) description. This viewpoint yields a compact and structurally transparent characterization of the AKLT chain as a quantum spin system equipped with intrinsic quantum memory. Our results further indicate that the HQMM framework provides a promising setting for analyzing measurement-based quantum computation (MBQC) and related information-processing tasks.",['math-ph'],2026-05-23T06:56:29+00:00,https://arxiv.org/pdf/2605.24431v2,arxiv://2605.24431v2,2,10
2605.19198v1,Causal Fisher-Information Inequalities: Classical Causal Model Falsification and Metrological Advantage,"['Jeongho Bang', 'Su-Yong Lee']","Fisher-information inequalities have recently been used as operational witnesses of nonclassical metrological behavior, but their physical meaning is often tied to a particular narrative, such as, segmented dynamics or discrete trajectories. We show that a broader interpretation is available and, in fact, more natural: once an experiment is assumed to admit a classical causal model specified by a directed acyclic graph, conditional independences, and modular parameter dependence, the corresponding Fisher informations are forced to obey causal Fisher-information inequalities (CFIIs). The backbone result is a causal-path series law: for an additive causal parameter that propagates through a classical path $A \to C \to B$, the inverse Fisher information behaves as an information resistance and must add in series. Consequently, any CFII violation is a rigorous falsification of the entire classical causal model class. We then show that the violation is automatically a metrological resource certificate, because it implies a precision that no member of the classical causal class can attain. The gain mechanism is identified as Fisher-information synergy, i.e. off-diagonal score correlations that classical modularity forbids. A single-qubit coherent-rotation example demonstrates the deterministic CFII violation, estimator-level achievability of the resulting gain, robustness against split-optimized classical benchmarks, and a chain-amplified advantage in long causal decompositions. Finally, an AI-assisted adversarial finite-data stress test shows that the witness remains certifiable under the realistic visibility loss and readout error, while optimized modular classical causal models saturate but do not cross the CFII frontier.",['quant-ph'],2026-05-18T23:56:35+00:00,https://arxiv.org/pdf/2605.19198v1,arxiv://2605.19198v1,3,10
2605.09783v1,"Quantum Maxwell Demon at the Black Hole Horizon: Thermodynamics, Information, and the Equivalence Principle","['Hamed Hadi', 'Amin Rezaei Akbarieh', 'Goksel Daylan Esmer']","We analyze a quantum Maxwell demon operating a Szilard engine in free fall near a black hole horizon, where quantum information, thermodynamics, and spacetime causality intersect. The demon is modeled as a coherent two-level system, and the working substance is a single particle in a one-dimensional chamber crossing the event horizon. As the chamber crosses the horizon, the particle's Hilbert space splits into accessible and inaccessible sectors, leading to non-unitary reduced dynamics for an external demon due to tracing over interior degrees of freedom. We construct explicit measurement, expansion, and wall removal protocols for demons located outside or inside the horizon. Our results show that an external demon experiences degraded measurement correlations and reduced work extraction due to horizon-induced information loss, yet still obeys local thermodynamics and Landauer's principle. For an internal demon, the protocol reduces locally to the flat spacetime case, preserving the equivalence principle at the level of dynamics. While the equivalence principle holds dynamically, quantum information processing provides an operational signature of the horizon through reduced accessibility and irreversible open system behavior, clarifying how information, causality, and thermodynamics coexist in black-hole spacetimes.",['gr-qc'],2026-05-10T22:01:58+00:00,https://arxiv.org/pdf/2605.09783v1,arxiv://2605.09783v1,4,10
2605.09316v1,Neural Information Causality,"['Jeongho Bang', 'Marcin Pawłowski']","Query-separated computation forces a representation to play an operational role: data are encoded before a query is known, and a later decoder can answer only through the intermediate interface. In this regime the representation functions as a message rather than merely as a feature map. We formalize this observation by embedding information causality (IC) into representation learning, obtaining a framework called neural information causality (Neural-IC). The revised formulation separates two logically distinct statements. First, every query-separated architecture induces a random-access communication experiment and obeys the embedding inequality $I_{\mathrm{N\text{-}RAC}}\le I(\vec a:H,B)$. Second, any independently certified physical capacity bound on the interface, such as a hard $m$-bit alphabet, a finite-precision register, or a power-constrained noisy channel, implies $I_{\mathrm{N\text{-}RAC}}\le C_H$. This separation avoids treating capacity as a post hoc definition and makes Neural-IC an operational diagnostic for query leakage, precision leakage, and episode-specific memory. We also provide an exact one-bit classical RAC benchmark, showing explicitly that the relevant quantum enhancement is not total information beyond the bottleneck, but fair query-conditioned access. For CHSH-type correlation layers, nested Neural-RAC protocols multiply correlation biases across depth; requiring stability of a one-bit bottleneck for arbitrary depth selects the Tsirelson threshold. We extend the analysis to asymmetric seed biases, to multi-capacity finite-depth phase diagrams, and to correlated data via a conditional information score. Controlled simulations, including straight-through binary bottlenecks and deliberately leaky ablations, verify that apparent violations are accounted for by broken query separation or undercounted capacity.","['quant-ph', 'cs.AI']",2026-05-10T04:25:11+00:00,https://arxiv.org/pdf/2605.09316v1,arxiv://2605.09316v1,5,10
2605.03958v1,Fisher-Informational Time: A Causal-Geometric Framework for Emergent Clock Time Physical Distinguishability,['J. Sumaya-Martinez'],"We develop a Fisher-informational reformulation of physical time in which clock time is not regarded as a fundamental ontological substance, but as an emergent calibration of causally ordered distinguishability among physical states. The operational starting point is that clocks do not measure time itself; rather, they instantiate reproducible physical processes whose distinguishable states are correlated with other events. We introduce a causal-informational parameter, denoted by Lambda_F, defined as an accumulated Fisher-geometric distance along a causally admissible trajectory in state space. In classical statistical systems, this parameter is generated by the Fisher information metric; in quantum systems, the corresponding construction is associated with quantum Fisher information, the Bures metric, and the Fubini-Study geometry of projective Hilbert space. The manuscript distinguishes model-dependent Fisher information from quantum Fisher information, clarifies the reparameterization of Schrodinger dynamics, and gives explicit examples involving a qubit clock, an exponential decay process, and a Fisher characterization of clock quality. The proposal is positioned relative to relational time, the Page-Wootters mechanism, thermal time, quantum speed-limit relations, information geometry, and the problem of time in quantum gravity. We do not claim that relational or emergent time is new. The specific contribution is the use of Fisher distinguishability as an operational precursor from which ordinary clock time can be reconstructed. In this sense, the central statement of the paper is: time is not measured by clocks; clock time is reconstructed from the Fisher distinguishability accumulated along causally ordered physical changes.","['quant-ph', 'physics.optics']",2026-05-05T16:42:30+00:00,https://arxiv.org/pdf/2605.03958v1,arxiv://2605.03958v1,6,10
2605.02774v1,Operator spreading and recoverability of local quantum Fisher information in a $U(1)$-broken spin chain,"['Marcin Płodzień', 'Jan Chwedeńczuk']","While out-of-time-order correlators establish a causal light cone for operator spreading, they do not guarantee that the parameter sensitivity carried by the operator remains locally recoverable. We examine the distinction between operator spreading and metrological recoverability for a parameter encoded in a single site of an XX spin chain subjected to a $U(1)$-breaking transverse field. We evaluate three levels of local metrological accessibility: the bare single-site quantum Fisher information (QFI), the QFI recovered by a variational sweep decoder acting on a finite spatial block, and the exact block QFI. In the integrable limit, the sensitivity propagates as a one-magnon wave packet, and a single-qubit decoder recovers the full block QFI. Breaking magnon-number conservation couples the parameter tangent state to multi-magnon sectors. We analytically demonstrate that the local QFI has no first-order correction in field strength; the leading depletion enters at $\mathcal{O}(h^2)$ through two-magnon scattering. As the field strength increases, the decoded QFI falls below the exact block QFI -- a gap reflecting a generic finite-dimensional compression limitation, as a single output qubit generically cannot capture the full QFI of a block state whose parameter dependence spans more than an effective two-dimensional subspace. The block QFI itself falls below the conserved global value, confirming that the sensitivity has spread beyond the block into non-local correlations. This operational hierarchy provides a precise quantitative distinction between the arrival of operator support and the local accessibility of metrological information.",['quant-ph'],2026-05-04T16:18:36+00:00,https://arxiv.org/pdf/2605.02774v1,arxiv://2605.02774v1,7,10
2604.01217v1,Conditional channel entropy sets fundamental limits on thermodynamic quantum information processing,"['Himanshu Badhani', 'Siddhartha Das']","The thermodynamic resourcefulness of quantum channels primarily depends on their underlying causal structure and their ability to generate quantum correlations. We quantify this interplay within the resource theory of athermality for bipartite quantum channels in the presence of a side channel acting as memory, referred to as the resource theory of conditional athermality. For channels with trivial output Hamiltonians, we characterize the optimal one-shot rates for distilling the identity gate from a given channel, as well as the cost of simulating the channel using the identity gate, under conditional Gibbs-preserving superchannels. We show that these rates have a direct trade-off relation with the conditional channel entropies, attributing operational significance to signaling in quantum processes. Furthermore, we establish an equipartition property for the conditional channel min-entropy for classes of channels that are either tele-covariant or no-signaling from the non-conditioning input to the conditioning output. As a consequence, we demonstrate asymptotic reversibility of the resource theory for these channels. The asymptotic conditional athermality capacity of a tele-covariant channel is half the superdense coding capacity of its Choi state. Our work establishes the conditional channel entropy as a primitive information-theoretic concept for quantum processes, elucidating its potential for wider applications in quantum information science.","['quant-ph', 'cond-mat.other', 'cs.IT', 'hep-th', 'math-ph']",2026-04-01T17:56:12+00:00,https://arxiv.org/pdf/2604.01217v1,arxiv://2604.01217v1,8,10
2603.28973v1,"Bell's Inequality, Causal Bounds, and Quantum Bayesian Computation: A Unified Framework","['Nick Polson', 'Vadim Sokolov', 'Daniel Zantedeschi']","Bell inequalities characterize the boundary of the local-realist correlation polytope -- the set of joint probability distributions achievable by classical hidden-variable models. Quantum mechanics exceeds this boundary through non-commutativity, reaching the Tsirelson bound $2\sqrt{2}$ for CHSH. We show that this polytope structure is not specific to quantum foundations: it appears identically in the causal inference literature, where the instrumental inequality, the Balke--Pearl linear programming bounds, and the Tian--Pearl probabilities of causation all arise as facets of the same marginal compatibility polytope. Fine's theorem -- that CHSH inequalities hold if and only if a joint distribution exists -- is precisely the pivot: the instrumental variable model in causal inference is structurally equivalent to the Bell local hidden-variable model, with the instrument playing the role of the measurement setting and the latent confounder playing the role of the hidden variable $λ$. We develop this correspondence in detail, extending it to algorithmic (Kolmogorov complexity) and entropic formulations of Bell inequalities, the NPA semidefinite programming hierarchy, and the MIP$^*$=RE undecidability result. We further show that the Born-rule / Bayes-rule duality underlying quantum Bayesian computation exploits the same non-commutativity that enables Bell violation, providing polynomial speedups for posterior inference. The framework yields a concrete dictionary between quantum information theory, causal econometrics, and Bayesian computation, and suggests new directions including NPA-based quantum causal inference algorithms and quantum architectures for function approximation.","['quant-ph', 'stat.CO']",2026-03-30T20:18:16+00:00,https://arxiv.org/pdf/2603.28973v1,arxiv://2603.28973v1,9,10
2603.15315v1,Quantum Liang Information Flow vs. Out-of-Time-Order Correlators as Chaos Diagnostics in the Mixed-Field Ising Chain,['Bin Yi'],"We systematically compare Quantum Liang Information Flow (QLIF) a recently proposed causal information measure with the out-of-time-order correlator (OTOC) as diagnostics of quantum chaos in the one-dimensional mixed-field Ising chain. Using exact diagonalization and MPS-TEBD, we show that the early-time power-law growth and wavefront propagation velocity of QLIF are identical for integrable and chaotic parameters, being controlled solely by the local Hamiltonian structure. The QLIF signal strength depends sensitively on the initial state, spanning four orders of magnitude across product states, ground state eigenstate evolution, and quantum quench protocols. We identify the time-integrated QLIF as a late-time chaos diagnostic: it grows linearly (monotonically) in chaotic systems, reflecting irreversible thermalization, while saturating or oscillating in integrable systems, reflecting reversible quasiparticle dynamics. These findings establish QLIF as a complementary probe to OTOC, with distinct optimal operating regimes.",['quant-ph'],2026-03-16T14:09:42+00:00,https://arxiv.org/pdf/2603.15315v1,arxiv://2603.15315v1,10,10
